Date/Time	Counts	Val 1	Val 2
27.02.2023 12:22:36	7	4.0 cps	240.0 cpm
27.02.2023 12:22:37	3	4.2 cps	252.0 cpm
27.02.2023 12:22:38	4	4.2 cps	252.0 cpm
27.02.2023 12:22:39	3	4.1 cps	246.0 cpm
27.02.2023 12:22:40	1	3.5 cps	210.0 cpm
27.02.2023 12:22:41	0	3.0 cps	180.0 cpm
27.02.2023 12:22:42	4	3.3 cps	198.0 cpm
27.02.2023 12:22:43	2	3.2 cps	192.0 cpm
27.02.2023 12:22:44	3	3.2 cps	192.0 cpm
27.02.2023 12:22:45	4	3.1 cps	186.0 cpm
27.02.2023 12:22:46	1	2.5 cps	150.0 cpm
27.02.2023 12:22:47	1	2.3 cps	138.0 cpm
27.02.2023 12:22:48	4	2.3 cps	138.0 cpm
27.02.2023 12:22:49	3	2.3 cps	138.0 cpm
27.02.2023 12:22:50	6	2.8 cps	168.0 cpm
27.02.2023 12:22:51	5	3.3 cps	198.0 cpm
27.02.2023 12:22:52	11	4.0 cps	240.0 cpm
27.02.2023 12:22:53	4	4.2 cps	252.0 cpm
27.02.2023 12:22:54	2	4.1 cps	246.0 cpm
27.02.2023 12:22:55	8	4.5 cps	270.0 cpm
27.02.2023 12:22:56	2	4.6 cps	276.0 cpm
27.02.2023 12:22:57	3	4.8 cps	288.0 cpm
27.02.2023 12:22:58	3	4.7 cps	282.0 cpm
27.02.2023 12:22:59	3	4.7 cps	282.0 cpm
27.02.2023 12:23:00	5	4.6 cps	276.0 cpm
27.02.2023 12:23:01	2	4.3 cps	258.0 cpm
27.02.2023 12:23:02	2	3.4 cps	204.0 cpm
27.02.2023 12:23:03	10	4.0 cps	240.0 cpm
27.02.2023 12:23:04	4	4.2 cps	252.0 cpm
27.02.2023 12:23:05	3	3.7 cps	222.0 cpm
27.02.2023 12:23:06	2	3.7 cps	222.0 cpm
27.02.2023 12:23:07	6	4.0 cps	240.0 cpm
27.02.2023 12:23:08	2	3.9 cps	234.0 cpm
27.02.2023 12:23:09	5	4.1 cps	246.0 cpm
27.02.2023 12:23:10	4	4.0 cps	240.0 cpm
27.02.2023 12:23:11	6	4.4 cps	264.0 cpm
27.02.2023 12:23:12	1	4.3 cps	258.0 cpm
27.02.2023 12:23:13	5	3.8 cps	228.0 cpm
27.02.2023 12:23:14	2	3.6 cps	216.0 cpm
27.02.2023 12:23:15	9	4.2 cps	252.0 cpm
27.02.2023 12:23:16	5	4.5 cps	270.0 cpm
27.02.2023 12:23:17	1	4.0 cps	240.0 cpm
27.02.2023 12:23:18	5	4.3 cps	258.0 cpm
27.02.2023 12:23:19	2	4.0 cps	240.0 cpm
27.02.2023 12:23:20	3	3.9 cps	234.0 cpm
